#tr	v1,v2,v3,direction	plane	beta(rad)	Z_S(rad)	Area(m^2)
107	<1.75,3,-0.605278>,<1.8,0,-0.272599>,<1.8,3,-0.272599>,-1	<-0.998037,-0,0.15>	1.42162	-1.5708	0.504623
108	<1.8,0,-0.272599>,<1.8,3,-0.272599>,<1.85,0,0.0680063>,-1	<1.02182,-0,-0.15>	1.42504	-1.5708	0.516384
109	<1.8,3,-0.272599>,<1.85,0,0.0680063>,<1.85,3,0.0680063>,-1	<-1.02182,-0,0.15>	1.42504	-1.5708	0.516384
110	<1.85,0,0.0680063>,<1.85,3,0.0680063>,<1.9,0,0.406634>,-1	<1.01588,-0,-0.15>	1.4242	-1.5708	0.513449
111	<1.85,3,0.0680063>,<1.9,0,0.406634>,<1.9,3,0.406634>,-1	<-1.01588,-0,0.15>	1.4242	-1.5708	0.513449
112	<1.9,0,0.406634>,<1.9,3,0.406634>,<1.95,0,0.733438>,-1	<0.980412,-0,-0.15>	1.41898	-1.5708	0.49591
113	<1.9,3,0.406634>,<1.95,0,0.733438>,<1.95,3,0.733438>,-1	<-0.980412,-0,0.15>	1.41898	-1.5708	0.49591
114	<1.95,0,0.733438>,<1.95,3,0.733438>,<2,0,1.03891>,-1	<0.916416,-0,-0.15>	1.40855	-1.5708	0.464305
115	<1.95,3,0.733438>,<2,0,1.03891>,<2,3,1.03891>,-1	<-0.916416,-0,0.15>	1.40855	-1.5708	0.464305
116	<2,0,1.03891>,<2,3,1.03891>,<2.05,0,1.31418>,-1	<0.82581,-0,-0.15>	1.39112	-1.5708	0.419661
117	<2,3,1.03891>,<2.05,0,1.31418>,<2.05,3,1.31418>,-1	<-0.82581,-0,0.15>	1.39112	-1.5708	0.419661
118	<2.05,0,1.31418>,<2.05,3,1.31418>,<2.1,0,1.55122>,-1	<0.71112,-0,-0.15>	1.36291	-1.5708	0.363384
119	<2.05,3,1.31418>,<2.1,0,1.55122>,<2.1,3,1.55122>,-1	<-0.71112,-0,0.15>	1.36291	-1.5708	0.363384
120	<2.1,0,1.55122>,<2.1,3,1.55122>,<2.15,0,1.74316>,-1	<0.57582,-0,-0.150001>	1.31596	-1.5708	0.297518
121	<2.1,3,1.55122>,<2.15,0,1.74316>,<2.15,3,1.74316>,-1	<-0.57582,-0,0.150001>	1.31596	-1.5708	0.297518
122	<2.15,0,1.74316>,<2.15,3,1.74316>,<2.2,0,1.88441>,-1	<0.42375,-0,-0.15>	1.23058	-1.5708	0.224758
123	<2.15,3,1.74316>,<2.2,0,1.88441>,<2.2,3,1.88441>,-1	<-0.42375,-0,0.15>	1.23058	-1.5708	0.224758
124	<2.2,0,1.88441>,<2.2,3,1.88441>,<2.25,0,1.97086>,-1	<0.25935,-0,-0.15>	1.04643	-1.5708	0.149802
125	<2.2,3,1.88441>,<2.25,0,1.97086>,<2.25,3,1.97086>,-1	<-0.25935,-0,0.15>	1.04643	-1.5708	0.149802
126	<2.25,0,1.97086>,<2.25,3,1.97086>,<2.3,0,2>,-1	<0.08742,-0,-0.15>	0.527677	-1.5708	0.0868076
127	<2.25,3,1.97086>,<2.3,0,2>,<2.3,3,2>,-1	<-0.08742,-0,0.15>	0.527677	-1.5708	0.0868076
128	<2.3,0,2>,<2.3,3,2>,<2.35,0,1.97098>,1	<-0.0870599,0,-0.15>	0.525883	1.5708	0.086717
129	<2.3,3,2>,<2.35,0,1.97098>,<2.35,3,1.97098>,1	<0.0870599,-0,0.15>	0.525883	1.5708	0.086717
130	<2.35,0,1.97098>,<2.35,3,1.97098>,<2.4,0,1.88464>,1	<-0.25902,0,-0.150001>	1.04588	1.5708	0.149659
131	<2.35,3,1.97098>,<2.4,0,1.88464>,<2.4,3,1.88464>,1	<0.25902,-0,0.150001>	1.04588	1.5708	0.149659
132	<2.4,0,1.88464>,<2.4,3,1.88464>,<2.45,0,1.7435>,1	<-0.42342,0,-0.15>	1.23033	1.5708	0.224602
133	<2.4,3,1.88464>,<2.45,0,1.7435>,<2.45,3,1.7435>,1	<0.42342,-0,0.15>	1.23033	1.5708	0.224602
