0.679869 0 3.9418,0.679869 5 3.9418,0.719252 0 3.9348
0.679869 5 3.9418,0.719252 0 3.9348,0.719252 5 3.9348
0.640417 0 3.9484,0.640417 5 3.9484,0.679869 0 3.9418
0.640417 5 3.9484,0.679869 0 3.9418,0.679869 5 3.9418
0.600902 0 3.95461,0.600902 5 3.95461,0.640417 0 3.9484
0.600902 5 3.95461,0.640417 0 3.9484,0.640417 5 3.9484
0.561326 0 3.96042,0.561326 5 3.96042,0.600902 0 3.95461
0.561326 5 3.96042,0.600902 0 3.95461,0.600902 5 3.95461
0.521695 0 3.96583,0.521695 5 3.96583,0.561326 0 3.96042
0.521695 5 3.96583,0.561326 0 3.96042,0.561326 5 3.96042
0.482011 0 3.97085,0.482011 5 3.97085,0.521695 0 3.96583
0.482011 5 3.97085,0.521695 0 3.96583,0.521695 5 3.96583
0.442279 0 3.97547,0.442279 5 3.97547,0.482011 0 3.97085
0.442279 5 3.97547,0.482011 0 3.97085,0.482011 5 3.97085
0.402503 0 3.9797,0.402503 5 3.9797,0.442279 0 3.97547
0.402503 5 3.9797,0.442279 0 3.97547,0.442279 5 3.97547
0.362686 0 3.98352,0.362686 5 3.98352,0.402503 0 3.9797
0.362686 5 3.98352,0.402503 0 3.9797,0.402503 5 3.9797
0.322834 0 3.98695,0.322834 5 3.98695,0.362686 0 3.98352
0.322834 5 3.98695,0.362686 0 3.98352,0.362686 5 3.98352
0.282949 0 3.98998,0.282949 5 3.98998,0.322834 0 3.98695
0.282949 5 3.98998,0.322834 0 3.98695,0.322834 5 3.98695
0.243036 0 3.99261,0.243036 5 3.99261,0.282949 0 3.98998
0.243036 5 3.99261,0.282949 0 3.98998,0.282949 5 3.98998
0.203098 0 3.99484,0.203098 5 3.99484,0.243036 0 3.99261
0.203098 5 3.99484,0.243036 0 3.99261,0.243036 5 3.99261
0.16314 0 3.99667,0.16314 5 3.99667,0.203098 0 3.99484
0.16314 5 3.99667,0.203098 0 3.99484,0.203098 5 3.99484
0.123166 0 3.9981,0.123166 5 3.9981,0.16314 0 3.99667
0.123166 5 3.9981,0.16314 0 3.99667,0.16314 5 3.99667
0.0831793 0 3.99914,0.0831793 5 3.99914,0.123166 0 3.9981
0.0831793 5 3.99914,0.123166 0 3.9981,0.123166 5 3.9981
0.0431845 0 3.99977,0.0431845 5 3.99977,0.0831793 0 3.99914
0.0431845 5 3.99977,0.0831793 0 3.99914,0.0831793 5 3.99914
0.00318531 0 4,0.00318531 5 4,0.0431845 0 3.99977
0.00318531 5 4,0.0431845 0 3.99977,0.0431845 5 3.99977
-0.0368142 0 3.99983,-0.0368142 5 3.99983,0.00318531 0 4
-0.0368142 5 3.99983,0.00318531 0 4,0.00318531 5 4
-0.07681 0 3.99926,-0.07681 5 3.99926,-0.0368142 0 3.99983
-0.07681 5 3.99926,-0.0368142 0 3.99983,-0.0368142 5 3.99983
-0.116798 0 3.99829,-0.116798 5 3.99829,-0.07681 0 3.99926
-0.116798 5 3.99829,-0.07681 0 3.99926,-0.07681 5 3.99926
-0.156775 0 3.99693,-0.156775 5 3.99693,-0.116798 0 3.99829
-0.156775 5 3.99693,-0.116798 0 3.99829,-0.116798 5 3.99829
-0.196735 0 3.99516,-0.196735 5 3.99516,-0.156775 0 3.99693
-0.196735 5 3.99516,-0.156775 0 3.99693,-0.156775 5 3.99693
-0.236676 0 3.99299,-0.236676 5 3.99299,-0.196735 0 3.99516
-0.236676 5 3.99299,-0.196735 0 3.99516,-0.196735 5 3.99516
-0.276594 0 3.99043,-0.276594 5 3.99043,-0.236676 0 3.99299
-0.276594 5 3.99043,-0.236676 0 3.99299,-0.236676 5 3.99299
-0.316484 0 3.98746,-0.316484 5 3.98746,-0.276594 0 3.99043
-0.316484 5 3.98746,-0.276594 0 3.99043,-0.276594 5 3.99043
-0.356342 0 3.9841,-0.356342 5 3.9841,-0.316484 0 3.98746
-0.356342 5 3.9841,-0.316484 0 3.98746,-0.316484 5 3.98746
-0.396164 0 3.98033,-0.396164 5 3.98033,-0.356342 0 3.9841
-0.396164 5 3.98033,-0.356342 0 3.9841,-0.356342 5 3.9841
-0.435947 0 3.97617,-0.435947 5 3.97617,-0.396164 0 3.98033
-0.435947 5 3.97617,-0.396164 0 3.98033,-0.396164 5 3.98033
-0.475686 0 3.97161,-0.475686 5 3.97161,-0.435947 0 3.97617
-0.475686 5 3.97161,-0.435947 0 3.97617,-0.435947 5 3.97617
-0.515378 0 3.96666,-0.515378 5 3.96666,-0.475686 0 3.97161
-0.515378 5 3.96666,-0.475686 0 3.97161,-0.475686 5 3.97161
-0.555018 0 3.96131,-0.555018 5 3.96131,-0.515378 0 3.96666
-0.555018 5 3.96131,-0.515378 0 3.96666,-0.515378 5 3.96666
-0.594603 0 3.95556,-0.594603 5 3.95556,-0.555018 0 3.96131
-0.594603 5 3.95556,-0.555018 0 3.96131,-0.555018 5 3.96131
-0.634128 0 3.94942,-0.634128 5 3.94942,-0.594603 0 3.95556
-0.634128 5 3.94942,-0.594603 0 3.95556,-0.594603 5 3.95556
-0.67359 0 3.94288,-0.67359 5 3.94288,-0.634128 0 3.94942
-0.67359 5 3.94288,-0.634128 0 3.94942,-0.634128 5 3.94942
-0.712984 0 3.93594,-0.712984 5 3.93594,-0.67359 0 3.94288
-0.712984 5 3.93594,-0.67359 0 3.94288,-0.67359 5 3.94288
-0.752307 0 3.92862,-0.752307 5 3.92862,-0.712984 0 3.93594
